id,Name,gender,Country,JobTitle,State,WorkActive
1,Bertie,Female,PR,Project Manager,Single,Working
2,Persis,Female,AR,Quality Control Specialist,Single,Not Working
3,Casi,Female,PL,Automation Specialist II,Single,Working
4,Scarface,Male,YE,Information Systems Manager,Marrid,Not Working
5,Salomo,Male,ID,Staff Scientist,Marrid,Not Working
6,Read,Male,NO,Senior Quality Engineer,Marrid,Working
7,Auberon,Male,RU,Civil Engineer,Single,Working
8,Karlene,Female,CN,Data Coordiator,Marrid,Not Working
9,Stanton,Male,OM,Software Engineer IV,Marrid,Not Working
10,Davina,Female,MD,Staff Accountant IV,Marrid,Not Working
11,Bobbi,Female,UG,Geological Engineer,Single,Not Working
12,Roderick,Male,PT,Technical Writer,Marrid,Not Working
13,Vladamir,Male,SN,Director of Sales,Single,Working
14,Marrissa,Female,CN,Associate Professor,Marrid,Not Working
15,Jenilee,Female,ET,Geologist II,Single,Not Working
16,Hall,Male,ID,Internal Auditor,Single,Working
17,Timmy,Male,AL,Marketing Assistant,Marrid,Not Working
18,Worthy,Male,FR,Cost Accountant,Single,Working
19,Mattie,Female,FR,Business Systems Development Analyst,Single,Not Working
20,Demetra,Female,NA,Programmer I,Single,Not Working
21,Antin,Male,ID,Analog Circuit Design manager,Marrid,Working
22,Isiahi,Male,FR,Chemical Engineer,Marrid,Working
23,Rainer,Male,PK,Actuary,Marrid,Working
24,Hedvig,Female,ID,Occupational Therapist,Single,Working
25,Dewitt,Male,BY,Financial Advisor,Marrid,Working
26,Rachel,Female,CO,Operator,Marrid,Working
27,Ahmad,Male,CN,Clinical Specialist,Single,Working
28,Cy,Male,NA,Information Systems Manager,Marrid,Working
29,Tailor,Male,BR,Office Assistant IV,Single,Working
30,Aguistin,Male,PH,Business Systems Development Analyst,Single,Not Working
31,Sabrina,Female,KE,Help Desk Operator,Marrid,Not Working
32,Templeton,Male,NG,Research Nurse,Marrid,Working
33,Pierce,Male,ID,Senior Editor,Single,Not Working
34,Roanna,Female,JP,Director of Sales,Marrid,Working
35,Tait,Male,ZM,Health Coach III,Marrid,Working
36,Latashia,Female,CN,Financial Analyst,Single,Working
37,Collete,Female,LK,VP Product Management,Marrid,Working
38,Nessy,Female,JP,Account Executive,Marrid,Working
39,Meryl,Female,CW,Clinical Specialist,Marrid,Not Working
40,Holmes,Male,CN,Environmental Tech,Marrid,Not Working
41,Raphael,Male,RU,Cost Accountant,Single,Working
